-7.68E-01,-6.59E-01,-1.41E+00,6.51E-01
-6.48E-01,-6.73E-01,-1.37E+00,4.60E-01
-1.00E+00,-6.47E-01,-1.44E+00,1.06E+00
-1.10E+00,-6.64E-01,-1.33E+00,8.69E-01
4.11E-02,-7.46E-01,-1.12E+00,9.79E-01
-1.39E-01,-7.85E-01,-8.72E-01,4.62E-01
-2.55E-01,-8.31E-01,-6.13E-01,-9.82E-02
1.62E-01,-8.74E-01,-4.46E-01,-8.40E-02
-1.48E-01,-8.93E-01,-3.49E-01,-4.25E-01
2.19E-01,-8.92E-01,-3.78E-01,-4.39E-01
5.73E-01,-8.89E-01,-3.73E-01,-6.30E-01
7.09E-01,-8.91E-01,-2.73E-01,-6.21E-01
9.62E-01,-8.86E-01,-1.33E-01,-6.26E-01
9.01E-01,-8.82E-01,-1.09E-01,-6.31E-01
9.24E-01,-8.66E-01,-7.95E-02,-4.95E-01
7.46E-01,-8.49E-01,-1.34E-01,-7.04E-01
8.98E-01,-8.35E-01,-2.13E-01,-3.06E-01
1.13E+00,-7.88E-01,-2.55E-01,-2.61E-01
1.08E+00,-6.78E-01,-4.54E-01,-9.67E-02
8.96E-01,-5.32E-01,-9.85E-01,7.31E-01
7.82E-01,-4.10E-01,-1.42E+00,8.35E-01
8.57E-01,-2.81E-01,-1.71E+00,1.22E+00
8.15E-01,-1.59E-01,-1.80E+00,5.21E-01
9.78E-01,-7.74E-02,-1.86E+00,1.02E+00
1.02E+00,-1.55E-01,-1.82E+00,1.04E+00
1.11E+00,-1.15E-01,-1.96E+00,6.85E-01
1.02E+00,-1.45E-01,-2.00E+00,1.11E+00
9.66E-01,-1.75E-01,-2.13E+00,2.93E-01
1.13E+00,-2.14E-01,-1.91E+00,-2.26E-01
1.15E+00,-2.69E-01,-1.84E+00,-4.62E-01
1.09E+00,-3.54E-01,-1.33E+00,-7.02E-01
1.09E+00,-3.93E-01,-1.11E+00,-6.75E-01
8.75E-01,-4.20E-01,-1.05E+00,-2.78E-01
6.81E-01,-4.47E-01,-9.64E-01,-3.97E-01
9.31E-01,-4.55E-01,-8.63E-01,-3.51E-01
1.99E-01,-4.04E-01,-1.01E+00,-3.57E-01
-8.90E-01,-4.07E-01,-1.17E+00,4.61E-02
-1.60E+00,-4.75E-01,-9.41E-01,-4.68E-01
-1.66E+00,-5.03E-01,-4.02E-01,4.36E-01
-1.66E+00,-5.57E-01,-1.45E-01,6.76E-01
-1.18E+00,-5.46E-01,-3.91E-02,1.22E+00
-1.01E-01,-4.35E-01,-6.88E-02,1.61E+00
-3.48E-01,-3.44E-01,-3.51E-01,2.49E+00
4.46E-01,-3.24E-01,-8.12E-01,2.65E+00
6.39E-01,-5.32E-01,-6.18E-01,3.00E+00
3.27E-01,-3.96E-01,-9.32E-01,3.86E+00
3.45E-01,-3.35E-01,-1.89E+00,4.44E+00
-1.79E-01,-3.04E-01,-2.04E+00,4.39E+00
-8.91E-01,-3.04E-01,-2.29E+00,4.59E+00
